sentence,class
Yemeni man pleads guilty in U.S. to supporting al Qaeda ,0
Russia and Turkey trade accusations over Syria:  ,0
"Accused 'flash crash' trader's actions not a crime in UK, court hears ",0
It first came to prominence in Belgium.,0
"In addition , taxis can refuse to take babies and children because of seating legislation.",0
Cheapest Is The Dearest,0
"In 2008 , Biden received the Best of Congress Award , for `` improving the American quality of life through family-friendly work policies , '' from Working Mother magazine.",0
just found out boxing day commemorates when jesus was only two days old and had to prove himself in the ring against the manger animals. wild.,1
In 1991 the orchestra gained its current name after its home city returned to its original name of Saint Petersburg.,0
Many of the municipalities in the area receive their drinking water directly from VÃ¤ttern.,0
Consensus can only work among reasonable editors who make a good faith effort to work together in a civil manner.,0
"HR: we’ve had some complaints that you’re kind of a close talker

ME: really? how so?

HR: well for starters you caught larry’s foreskin in YOUR zipper last week",1
Two of us played on four national championship teams.,0
"It's annoying when fat people say obesity ""runs"" in their family when clearly, nothing does.",1
Studies have shown that hallucinatory experiences take place worldwide.,0
"I was going to do a joke about a germ, But I wouldn't want to spread it around.",1
"An electronic multiplexer makes it possible for several signals to share one device or resource , for example one A/D converter or one communication line , instead of having one device per input signal.",0
Unknown dead fill Lesbos cemetery for refugees drowned at sea ,0
taking some time off from hating the way i look to focus more of my energy on hating my personality i hope you understand,1
What does Barbie like to do at Halloween? Pump Ken,1
A Joker with no Batman in sight is actually a pretty good metaphor for 2019.,1
 Most of those killed in Istanbul blast were German citizens - Turkish officials,0
"you [dumb, cloddish, uncultured]: the earth is flat

me [refined and intelligent about everything but this]: LIKE A TORTILLA?",1
"In Spain, left-wing coalition seen more likely as king ends talks ",0
I never knew true happiness until I got married...then it was too late.,1
Baden-Powell thought this would not be attractive and suggested that it could grow much larger when scouting would be used.,0
What do you call two old women who lick each others naughty bits? LesbiNans,1
"""The Holocaust shouldn't be politicized"" askfjhsjfkdjsh",1
"Sony Pictures hackers linked to breaches in China, India, Japan: report ",0
"People say laughter is the best medicine, so instead of
Getting a flu shot, you can just look at my bank balance.",1
Those who criticise our generation seem to forget who raised it.,1
"Tony pretends not to care , however Jal is angered that Michelle didn't tell her since she 's her best friend.",0
Egypt returns body of slain Italian student -state news agency ,0
"Gnight. 
Courage.",1
Brazil's Rousseff gains approval despite corruption: poll ,0
lThose of you who think you know everything are annoying those of us who do.,1
"Film director Richard Linklater discusses this novel in his film Waking Life , which begins with a scene reminiscent of another Dick novel , Time Out of Joint.",0
MSF-backed hospital in Syria destroyed by air strikes: statement: ,0
"MEANWHILE

Why is it called an open-casket funeral and not ""remains to be seen""?",1
Each player begins the game with two bishops.,0
My best mate told me to treat his house as if it were my own. So I sold it.,1
A handful of new servers are set up every year by hobbyists 30 have been set up and added to Floodgap 's list since 1999 and possibly some more that haven't been added.,0
Very excited that HarperCollins is publishing my novel in 2020. Posting this on multiple social media platforms truly gives me hives! Pray for my health...or don’t!,1
Where do prostitutes go for recycling? The Virgin Islands.,1
It was the first time that two women co-anchored Weekend Update.,0
HAHAHAHA @MOUNTAINDEW @CIRCLEKSTORES WTF IS THIS,1
Did you hear about the man who survived mustard gas and pepper spray? They say that he's a seasoned veteran.,1
"Oregon occupier freed from jail, barred from contact with husband  ",0
"The missus accused me of being far too competitive! I said 'I'm not!, and i'll be the first to admit that'.",1
Engayed: The term used when two gays are engaged or want to become married.,1
"Vietnam party boss says tough job ahead for new, expanded leadership ",0
"INTERVIEWER: Under special skills, you wrote ""I ain't afraid of no ghosts""

ME: *sweating profusely* Yeah why, do any ghosts work here?",1
The rotation of Earth always makes my day.,1
a story in three parts,1
"India, France eye intergovernmental pact to seal $9 billion Rafale deal: Hollande ",0
"Walter the Eastern Quoll isn't sure what all the fuss is about for the winter solstice today! ...But the staff at Bonorong are looking forward to the longer daylight hours, how about you?!  Photo thanks to Grant Angus #EasternQuoll #Winter #Solstice #Tasmania #Sanctuary",1
"To all the day mode haters, have you considered that maybe night mode is too spooky for some of us? Check your privilege.",1
Global slowdown fears overshadow Singapore aviation show:  ,0
Hard Words Break No Bones,0
What The Heart Thinks The Tongue Speaks,0
The Mac Mini is the first Macintosh desktop not to include a keyboard or mouse.,0
"Love Me, Love My Dog",0
I'm going to try winking as much in real life as I do in texts. ;),1
It takes place on the Hong Kong Island or Sha Tin District alternatively every two years.,0
"Theria is a subclass of mammals that give birth to live young without using a shelled egg , including both eutherians and metatherians.",0
"it's election season, you know what that means! it's time to

[crowd in unison] see smart and kind people share hateful and dishonest clickbait editorials because it puts down a candidate they dislike!

now let's spin the wheel!

[every spot on the wheel says ""get depressed""]",1
VOGUE JAPAN,1
There are two school systems in Algona.,0
Tunisian forces kill four militants in clashes: ministry ,0
Pretending to write when the teacher starts calling on random people.,1
Somali pirates gave me toothpaste & soap.,1
The up-side to procrastination is you always have something to do tomorrow.,1
"First , the blocking administrator provides a brief reason that you will see when you try to make an edit.",0
What does the dentist of the year get? A little plaque.,1
"Liverpool collapse nothing to do with protest, says coach  ",0
"Who called it ""playing footsie"" and not ""becoming sole mates""?",1
What do you call a whale with no pants on? Free Willy.,1
Whats the difference between two dicks and a joke? You can't take a joke.,1
To Find A Mare's Nest,0
"Life is like a roller coaster, and I'm about to throw up.",1
I wanted to marry my English teacher when she got out of prison.. But apparently you can't end a sentence with a proposition,1
Many early television networks evolved from earlier radio networks.,0
France's FN under fire from within over its anti-euro stance ,0
Five things the U.S. stock market is worried about after last week's rout ,0
They say one in every seven friends have a gambling addiction. My money's on Dave.,1
"He was buried in Tallinn , his grave not too far away from that of another great name in chess , Paul Keres.",0
Banks give back China investment quotas as clients bypass the middlemen  ,0
*boston bartender voice* no lady I haven't seen a subtweet but you're welcome to check the lost and found,1
What word is always pronounced incorrectly? Incorrectly.,1
"The city is also home to the headquarters of U-HAUL International , a rental company and moving supply store , as well Best Western , a hotel chain.",0
"DOCTOR: We’re gonna have to amputate above the knee.

ME: But I can’t survive if I’m just a Leg.",1
"Producer Dr. Luke says the #FreeKesha campaign is a ""trial by Twitter""",0
Why are 9/11 victims the best readers? They can go through 94 stories in seconds!,1
Its full name is the Beaufort Wind Force Scale.,0
BOJ shocks markets with negative rates move ,0
"Murder rate dips, but Venezuela still global hotspot ",0
He then meets a girl who he thinks is his true love.,0
"Fact of life: after Monday and Tuesday, even the calender says W T F.",1
California sheriff 'concerned' by slow response to jail escape ,0
"I’m trying to be more eco friendly, so I started recycling my tampon applicators.",1
The Cat Shuts Its Eyes When Stealing Cream,0
"Realtor: This house will need a lot of work, but it has good bones

Dog: WE'LL TAKE IT",1
A water turbine is a rotary engine that takes energy from moving water.,0
"Hitch hikers are the friendliest people in the world. Everytime I pass one, they give me a thumbs up!",1
That tweet was better when it was done by so and so who reworded it from what’s her face who saw it on Facebook in 2012,1
One protester shot dead as FBI arrests Oregon occupation leader and others:  ,0
Obama has started work to pick Supreme Court justice: White House ,0
One of his projects was the steel work of the General Motors Futurama building at the 1939 New York World 's Fair.,0
"[meeting girlfriend's parents]
me: I'm a big fan of your work",1
A handwriting analysis conclusively matched the two.,0
"My friends were amazed when I told them I can predict the future using herbs. ""Is it true?"" they asked..' Only thyme will tell' I replied.",1
ICE considers counter bid for London Stock Exchange Group:  ,0
There was an earthquake near the Galaxy chocolate factory this morning. It sent ripples through the whole building.,1
I think it is time I tell you what people are saying behind your back...! Nice Butt.,1
Slovenia to offer military instructors in fight against ISIS ,0
"The former English name was Sleswick-Holsatia , the Danish name is Slesvig-Holsten , the Low German name is Sleswig-Holsteen , and the North Frisian name is Slaswik-Holstiinj.",0
Twitty continues to make television appearances when there are new developments in the case.,0
"Trying to stem refugee influx, Sweden asks: When is a child not a child? ",0
i never in my life thought i’d see michelle obama hit harry styles in the dick with a dodgeball but hey god works in mysterious ways,1
Saudi envoy comments on Iraq's Shi'ite militias draw hostile reactions ,0
Ralph was the oldest of nine children.,0
"Him: Did you adopt your dog?
Me: No, he's my biological dog.",1
I wish subtweets were just tweets about delicious subs.,1
Hollywood's Sean Penn lied about 'Chapo' trafficking claim: lawyer  ,0
I got mugged earlier and they took my mood ring. I really don't know how I feel about that.,1
A good book focuses on a certain topic and covers it as well as possible.,0
"Rachel and Emilie decided to create a visual video for hearing children so that ASL could be made accessible to all children , and together created Two Little Hands Productions , their production company.",0
"TRIGGER HAPPY

And they cried, 
it’s not the guns

that kill people, 
it’s the people,

as the bodies 
piled up,

through each 
shameful sequel.

And each defender
of the gun laws,

with the death count
getting bigger,

may as well 
have had

their own finger
on the trigger.",1
What's the best way to talk to your mother-in-law? Through a medium.,1
Species may be succulent or not.,0
"10 Day Challenge 

Don’t do anything stupid for ten days",1
"Venezuela talks oil prices with Qatar, Oman; to meets Saudis  ",0
RosÃ© was first violin throughout.,0
A gentleman is a man who can play the accordion but doesn't.,1
Hunting season comes and Slade takes his dogs into the wilderness for the interim.,0
I won't rest until I find a cure for Insomnia!,1
The kids next Door have challenged me to a water fight. I'm updating twitter while I wait for the kettle to boil.,1
"With China's economy growing at its slowest in 25 years, tensions are rising:  ",0
Common mobile software could have opened San Bernardino shooter's iPhone  ,0
Phimosis is `` a contracted foreskin may cause trouble by hurting when an attempt is made to pull the foreskin back ''.,0
Key winners and events of the Oscars2016 in one handy list -   ,0
Syrian army presses Aleppo attack as U.N. envoy meets government:  ,0
"Did you hear about the new restaurant on the Moon? The food's ok, but it has no atmosphere.",1
"Political fallout from Flint, Michigan, water crisis spreads ",0
Every man in comedy has whatever the opposite of imposter syndrome is.,1
But we never do ''.,0
German court throws out objections by far-right NPD in ban case ,0
Oil rises further above $30 on hopes of deal to tackle glut:  ,0
every person i’ve dated after finding out i suck: https://twitter.com/geopoliticsnerd/status/1142524608060567552 …,1
"her: it's up to us to repopulate the earth

him: okay but i'm really not looking for anything serious right now",1
U.N. chief tells African leaders not to 'cling to power' ,0
Belgian court orders release of Paris attacks suspect ,0
"Two killed, three wounded in overnight shooting in Toronto ",0
What did the policeman say to his belly? You're under a vest.,1
Dibs on any sea glass you find. And don’t try pushing any of that foreign stuff on me.,1
"The CBO became a full time organization in 1944 , changing its name to the City of Birmingham Symphony Orchestra in 1948.",0
"I received an email asking me to send trouser zips to the address provided.But I ignored it, sounds like they're fly phishing to me.",1
"On Day 19 , the two tribes , now with 6 women and 4 men , merged into Alinta.",0
jesus “the toolman” christ,1
Telescopes probably use mirrors which means there is absolutely no way to know how many vampires there are in space.,1
What do you call a man without a spade? Douglas.,1
"If the gas station is 2 miles away and my dad can drive at 60MPH, why hasn't returned from getting snacks for 6 years?",1
Kiss me if I'm wrong. But dinosaurs still exist right?,1
Local scholars say that its original name was Ldumra.,0
Like Galileo I too was fired from a daycare job for teaching kids to climb a tall tree and prove my theory of how the sun is making a noise.,1
"Insight - After winning EU deal, Cameron faces harder battle ",0
"My son just found out that what he has been calling a ""handburger"" is actually a ""hamburger"" and he's not happy about it. ""Mom, you eat it with your HANDS. And there's not even any ham in it!"" Yeah I think I'm with him on this one y'all",1
What did the pirate do after his parrot bit off his genitals? He got a woodpecker.,1
Kerry to meet Jordan's King Abdullah in Amman over weekend ,0
Clay animation is one of many forms of stop motion animation.,0
"My octopus can beat up your octopus.

*octopus flicks cig*
*octopus flicks cig*
*octopus flicks cig*
*octopus flicks cig*
*octopus flicks cig*
*octopus flicks cig*
*octopus flicks cig*
*octopus flicks cig*

""Lets do this.""",1
"U.N. staffer killed in Iraq, first since 2010 ",0
"Similar to the previous two events , the concept of the show was that every championship in the company would be defended.",0
life wasn’t supposed to be this hard I didn’t realize how much effort would go into just keeping my hands moisturized not to mention the relentless onslaught of soul shattering hardship lol,1
"for this next tweet it’s important to know there’s a guy Dennis at my office who eats egg salad every day for lunch so we call him Egg Salad Dennis.

ok here’s the tweet.

Hey guys you’ll never guess what Egg Salad Dennis brought for lunch today.",1
If tomatoes are fruit then isn't ketchup actually a smoothie?,1
"The name Britain is derived from the Latin name Britannia , via Old French Bretaigne and Middle English Bretayne , Breteyne.",0
They say shower sex is overrated.  You know we’d change their minds.,1
I considered atheism but there weren't enough holidays,1
Hungary is going to hold a referendum on EU plans for a mandatory migrant quotas system:  ,0
North Korea says detained U.S. student confesses to crimes against state ,0
What did the baby corn say to momma corn? Where is popcorn. ,1
Why don't seagulls fly over the bay? Because then they would be called bagels!,1
"No Longer Pipe, No Longer Dance",0
The system closed in 1962 and was the last city tramway in Great Britain.,0
How can you spot the blind guy at the nudist colony? It's not hard.,1
Do homeless people understand knock knock jokes?,1
Don't miss our Editor's Choice photos of the day:  ,0
More money is not more happiness. Cause I was just as happy at 40 million as I am now with 42 million,1
"If The Sky Falls, We Shall Catch Larks",0
"As everyone knows, the Nazis went from being a normal part of a healthy democracy and then immediately started mass exterminations with no build up or warning. We can learn nothing from how they got to that point. Buncha dudes just started bein evil all of a sudden. Crazy shit.",1
To Use A Steam-Hammer To Crack Nuts,0
Who will take the second shot in the pub snooker game? We'll find out after the break.,1
I've just stolen loads of swimming inflatables. I'd better lilo.,1
To Pour Water Into A Sieve,0
"“alcohol is a depressant, maybe you shouldn’t drink if you’re depressed” but it makes me a different KIND of depressed. the change in pace is nice, ok? keepin’ it spicy. spicy depression.",1
Did you hear about the paranoid dyslexic? He thought he was following someone.,1
just heard my song in a porn wow that’s amazing,1
"Whats green, slimy and smells like ham? Kermit the Frog's finger.",1
Fed's Fischer says worried by emergency credit reporting rules:  ,0
"If you want flattery girls, I'm your man. I have a steam roller ready to use.",1
"Guy who owned Odeon cinemas has passed away. His funeral is on Monday @ 2:10, 4:20 and 8:40",1
"PASTOR: I hope you enjoyed our hipper, more modern Sunday service

ME: the band playing ""Amazing Grace ft Pitbull"" was a little much imo",1
"BOSS: How's the new pond project going?
ME: Swimmingly. I took to it like a duck to water
B: Don't let it fall between the quacks
M: I'll duck out and finish it now
B: Sorry to quack the whip. I'm seeing duck clouds on the horizon
M: Don't worry I've got my ducks in a row",1
I went back this girls place and she had a 10-foot lightswitch. It was a massive turnoff!,1
What do you call a teacher that doesn't fart in public? A private tooter.,1
Stocks dragged lower as oil tumbles 4 percent:  ,0
The difference between in-laws and outlaws? Outlaws are wanted.,1
Putin probably approved London murder of Litvinenko: British inquiry ,0
"Hey HEY
You YOU
I don’t like your crab friend
No way 
NO WAY
Because he tried to pinch me
Hey HEY
You YOU
Please remove your crab friend",1
"U.S. criticizes Uganda election, says concerned about Besigye's arrest ",0
Military chiefs gather in Paris to bolster Islamic State fight  ,0
Steak-umm,1
Gang guilty of sex crimes in English town at center of abuse scandal ,0
Why do they sterilize needles for lethal injections?,1
"According to Livy , Hannibal much later said that when he came upon his father and begged to go with him , Hamilcar agreed and demanded him to swear that as long as he lived he would never be a friend of Rome.",0
"therapist: you don't need to be afraid of gorilla crow. gorilla crow isn't real.

me, looking out the window:",1
"Don't look now, but there's one too many in this room and I think it's you.",1
The county boundaries of England have changed little over time.,0
"Squirrel 1: Were you looking at my nuts?
Squirrel 2: Just pecan....",1
If this isn't the name of her autobiography I will sue,1
What is the capital of Greece? About £10,1
They say 5 out of 4 people have problems with fractions.,1
"Typically , stolons have very long internodes that form new plants at the ends.",0
I'd love to live in an old disused lighthouse. I don't want anything flashy.,1
"For an athlete who desires to be the best. Just enough, is rarely enough. More than enough tends to be just enough. #MaxOut",1
I have three hubcaps and I’m blasting the Clueless cd. You’re going to want to let me over.,1
Danny Devito would never try to control a woman's body,1
Also goes by the name `` Mr. Gibbs ''.,0
I have an irrational fear that I’ll meet a talking animal and they won’t have the ability to grant me any wishes.,1
"What did the bartender say when oxygen, hydrogen, sulfur, sodium, and phosphorous walked into his bar? OH SNaP!",1
just found out nsync broke up,1
"Nothing So Bad, As Not To Be Good For Something",0
He Who Would Eat The Nut Must First Crack The Shell,0
All is fair in love and war,0
This place is so weird that the cockroaches have moved next door.,1
I fell in love at first sight...I probably should have looked twice.,1
"[first glass of wine]
mmm nice. let's listen to jazz

[second glass of wine]
*struggling to remove my sweatshirt* we should fuck on the roof",1
"Sometimes, I miss being in a relationship. But then I look in my wallet and feel alright again.",1
"..and the Lord said unto John ""Come forth and receive eternal life"". But he came fifth and won a toaster.",1
"If you pee in the Matrix, you pee in the real world.",1
Supreme Court fight gives Democrats fuel to regain Senate control:  ,0
We live with the consequences today . '',0
Time flies like an arrow. Fruit flies like a banana.,1
A criminal's best asset is his lie ability.,1
Making a new link that begins with a / is the common way to start a subpage.,0
Words Pay No Debts,0
How does Stephen Hawking recover from a hangover? He presses F5.,1
"I rang the council to ask if I could have a skip outside my house. They said ""You can cartwheel down the street for all we care""",1
Never throw dirt when you're at war; you'll lose your ground.,1
A move that would place the moving player 's king in check is illegal.,0
Syria peace talks hinge on envoy's answers ,0
"Newly released documents show profit-seeking behind price hikes at Turing, Valeant ",0
"Sorry I'm poor, I can't afford to pay attention.",1
"Abbottabad district is divided into two tehsils , Abbottabad and Havelian as well as one urban administration area - Nawanshehr.",0
The first goal of any new artist or band was to get signed to a contract as soon as possible.,0
German police arrest two suspects linked to Nazi propaganda website ,0
"From early 1994 to September 1999 , Raw was shown live on one Monday and then the next day next Monday 's Raw was taped.",0
"But Yoland 's pimp , Keyshone soon appears outside , begging for `` Yolanda '' back and asking for her hand in marriage . Butters insists that he can not allow `` Yolanda '' to work for him , claiming it would interfere with the `` true love '' Keyshone and `` Yolanda '' share.",0
What do you call a cow's mate? Its significant udder. ,1
The Wolverine is an easy example.,0
UBS freezes salaries in investment bank: sources  ,0
Dan says `` the old salts say you can set your watch by it . '',0
HAHAHAHA,1
How Trump could benefit from a Bloomberg presidential run:  ,0
Judge rules video of Chicago police shooting can be released:  ,0
"A police recruit was asked during the exam, ""What would you do if you had to arrest your own mother?"" He said: ""Call for backup.""",1
"midwife: it's triplets!
me: oh wow
midwife: bit of a shock?
me: yeah [looks at wife] who are the other two dads?",1
Company In Distress Makes Trouble Less,0
See for instructions.,0
Tropical Tonga declares Zika outbreak after five cases confirmed ,0
"Even so , the old man 's scream during the night causes a neighbor to call the police . The narrator invites the three officers to look around.",0
"Obama, Erdogan speak by phone, vow cooperation against terrorism: sources ",0
"Halo 3 , like its predecessors , is set in the fictional Halo universe , taking place during the year 2553.",0
"My credit card company loves me. Every day, I get a call from them saying my balance is outstanding.",1
I forgot to go to the gym today. That's 7 years in a row now.,1
He Is A Fool That Forgets Himself,0
"I just bought this dumbass shirt someone please help me be less online

Cc: @Dustinkcouch",1
"It is shown throughout the 2nd and 3rd movie that the crew of the Black Pearl , particularly Jack Sparrow , like to shoot at Jack the monkey.",0
"End of Europe? Berlin, Brussels' shock tactic on migrants ",0
What's the heaviest soup in Asia? Wonton soup. ,1
Clue,1
McAleese is Ireland 's second female president and the world 's first woman to succeed another woman as an elected head of state.,0
Yo mama is so poor her face is on the front of a foodstamp.,1
Why was the blonde upset when she got her Drivers License? Because she got an F in sex.,1
She was born to Tatar father and Jewish mother.,0
Pakistan's largest opposition party wants army chief to stay when term ends ,0
Ivory Coast ex-president presented as peace-loving victim of France ,0
Whats the difference between ignorance and apathy? I don't know and I don't care.,1
Embattled Mexican builder ICA CEO Quintana leaving post: sources  ,0
Do not trust atoms. They make up everything.,1
You can use the wikibreak template for this purpose . Let 's say wants to go on wikibreak until Christmas.,0
I've been fired from work for putting in too many shifts. Keyboard manufacturing isn't as easy as you think.,1
Cameron hits back at critics with 'Project Fact':  ,0
Roche eyes acquisition of Pacific Biosciences: sources  ,0
"Boss: there are no dumb questions 

Me: do the carebears shit in toilets or one big pile?

Boss: wtf?",1
What do little birdies see when they get knocked unconscious?,1
- What do soy beans and dildos have in common?Both are meat subsitutes,1
3D printing body parts?  ,0
Self-styled militia group joins Oregon occupation:  ,0
"Sukarno , born Kusno Sosrodihardjo was the first President of Indonesia.",0
Nevada will be a test of Bernie Sanders appeal to minority voters  ,0
"after four years my girlfriend still gives me butterflies every time I see her.

she knows I'm terrified of butterflies they've taken over my home why does she do this to me she's so mean someone please help me",1
The fight lasted for almost two centuries.,0
Why did my wife cross the road? To get back to the first shoe shop we went in three fucking hours ago.,1
"Yeah, but you weren’t supposed to enjoy it, dude",1
How do you make your missus scream after an orgasm? Wipe your willy on the curtains.,1
"U.S. test-fires ICBM amid tensions with Russia, North Korea ",0
If you think you are having a bad day..just remember one day somebody is going to have Snooki as a mom.,1
"Unbrella: An umbrella which has no further use, as when a force of wind turns it inside-out",1
"WHO moves into high gear to combat Zika, microcephaly: expert ",0
Anything worth doing is worth doing slowly.,1
U.S. businessman detained in Iran denied access to lawyer ,0
Syrian Kurdish forces said to capture most of rebel-held former military airport ,0
How many Marxist's does it take to change a light bulb? None: The light bulb contains the seeds of its own revolution.,1
Syrian army says it captured strategic town in coastal area ,0
Tomorrow Come Never,0
"EU executive to push Greece, Italy more on migration ",0
Israeli campaign against artists draws accusations of 'McCarthyism' ,0
It was front-page news for many days.,0
Wedding rings are too much like little handcuffs.,1
Coyotes appear better able than wolves to live among people.,0
"In 1933 Hoffmann - La Roche became the first pharmaceutical company to mass-produce synthetic vitamin C , under the brand name of Redoxon.",0
I didn't like my beard at first but then it grew on me.,1
Bank of England to tread fine line on distant rate bets  ,0
"Dear microwave, Why are your minutes so much longer than normal ones? Sincerely, super hungry me.",1
"No one ends life a virgin, life screws us all.",1
I must make merry before the Spring is spent.,0
Warfare among French socialists hurts Hollande's re-election bid ,0
Relationships are a lot like algebra. Have you ever looked at your X and wondered Y?,1
"Girls fall for me, because I trip them.",1
"What do you call a kid with one arm, buck teeth, a monobrow and an eyepatch? Names.",1
"Hello twitter friends, I wrote a fantasy/sci-fi book about a woman who helps topple a tyrannical Queen, becomes the new leader, and gets into loads of sword fights. It's here if you wanna check it out: https://www.amazon.com/dp/B07R91PP93 ",1
but you did tho,1
Urban blacks usually speak English or Afrikaans in addition to their native tongue.,0
"ME: Be still, my beating heart!
HEART: OK.
ME: *dies*",1
"Listen, calling people names says a lot more about you than it does about them, idiot.",1
Kasparov changed his mind after making a losing move and then made another move instead.,0
[sees an ant on the wall] god you’re so dumb no offense,1
"They noisily move away from the shore when disturbed , giving them their common name.",0
How many immature people does it take to change a light bulb? Your mum.,1
Scalia's death set to affect court's rulings in current term  ,0
Many of the neighborhoods in Malden take their name and identity from the Square they are centered around.,0
He has written many books of poetry and short stories as well as novels.,0
"A wife is like a hand grenade. Remove the ring, and your house is gone.",1
Hate Not At The First Harm,0
"""and all our handbags are 100% vegan leather-""

bitch that's plastic just say plastic. Look me in the eye & tell me you're charging me $300 for a reusable plastic bag",1
The Shield : red with three gold bands drawn diagonally across to the right hand side.,0
"Him: She’s probably texting another guy rn 

Me @ 12am not being able to fall asleep and bored with literally no one to text whatsoever:",1
Where do astronauts go out for a drink? To the spacebar.,1
Was walking round Tesco's the other day and a bloke threw a big lump of cheese at me! I thought how dairy!,1
U.S. Mid-Atlantic braces for storm that may dump two feet of snow ,0
"Free Names for Modern American Restaurants:

- Birch and Salt
- Garlic Transcendence
- Basil and Twine
- The Persimmon Grille
- Spruce and Shiplap
- The Castaway 
- Drag0nfrūt",1
hello i just got a massage how’s your day,1
What do you call a man with a spade? Doug.,1
"my kidney: can you stop with the alcohol?

my heart: yes and also start eating better?

my brian: do whta yuo liek.

me: love you, brian.",1
Ever hear of the Tempura House? It's a home for lightly battered women.,1
Activity in Syria threatens to drive a wedge between NATO allies:  ,0
It was first documented in 1436.,0
It has black primaries and secondaries.,0
An Empty Sack Cannot Stand Upright,0
Trial of man accused of being 'Grim Sleeper' serial killer set to begin:  ,0
South Korea cites North threat in calling for tough 'terror' law:  ,0
I put off more things by 9:00am than most people do all day.,1
Why are there no transvestites in space? Because there is zero drag.,1
"In his later years , Hitler spoke of Poetsch as a `` great man . ''",0
I almost had a threesome last night. I just needed two more people.,1
I had such a crap day. First my ex got run over by a bus. Then I got fired from my job as a bus driver.,1
Happy anniversary to the time I went to Pride Parade with my da and he thought the bondage guys were dressed as Spider-Man,1
"Her 1998 book , Today I Feel Silly , and Other Moods That Make My Day , made the best-seller list in The New York Times.",0
Trump and Sanders take New Hampshire by storm:  ,0
Unwavering Tottenham devoted to Pochettino's plan  ,0
Judge authorizes search after scent of slain Virginia woman is found  ,0
"me: you’re dumping me?

her: you can’t keep my name straight

                       r            e
me: but      a     g     r     t    I love you!
                 m            a

her: that’s not my name",1
"Did you hear the Aggies bought a thousand septic tanks?As soon as they learn to drive them, they'll invade Mexico.",1
"Anti-torture committee warns Greece on over-crowded prisons, police violence ",0
鶏で黄身と白身を分けたかった,1
"Born to a dog demon father and human mother , InuYasha is a half-demon who initially wants to use the powers of the Shikon Jewel to become a full demon.",0
(See you Monday),1
Locals distance themselves from Oregon refuge occupiers ,0
How to workout your 'arsehole' name. Replace your first name with the word 'Piers' and your surname with the word 'Morgan'.,1
"Merkel warns against border closures, to fight for EU-Turkey plan ",0
"After a three-season run , the sketch was developed into a half-hour prime time show and was an early hit for Fox.",0
"The Free Software Foundation may publish new , revised versions of the GNU Free Documentation License from time to time.",0
North Korea detains U.S. student on New Year trip for 'hostile act':  ,0
Last night my mate and I watched all 3 'Lord of the Rings' movies back to back. Luckily I was the one facing the TV.,1
When the killer is a woman,1
I heard Alabama changed the drinking age to 32. They wanted to keep alcohol out of the high schools.,1
A hunting dog refers to any dog who assists humans in hunting.,0
Australia softens sanctions against Iran  ,0
"me: i like your haircut. did you know the bees are dying?

you: weird segue

me: it’s called a segway [zooms away]",1
I really want to buy one of those grocery checkout dividers but the checkout lady keeps putting it back.,1
This species may be encountered in a wide range of open habitats and gardens.,0
"me                someone else

         
    ah shit haha
         
    ope not again",1
It's crab season. Choose your fighter.,1
"I once asked a pretty homeless woman If I could take her home. She said yes, but you shoulda seen her face when I took her box!",1
What do 32 Iraqi women in one place have? A full set of teeth!,1
"Amish safe sex: painting an ""X"" on the cows that kick.",1
"COWORKER: donuts in the break room want me to grab you one?
ME: no thanks i'm on a diet
CW: are you sur-
M: OK BUT I'LL JUST HAVE THREE",1
What do a dwarf and a midget have in common? Very little.,1
"The only people that feel bad about wasting their life are the people that wouldn't be able to do anything useful with it, anyway.",1
Zika virus discourages many Americans from Latin America travel -  ,0
Currently mad at my wife for not being a lizard,1
My mate keeps boasting that he owns a 3 foot pack of cards. Big deal.,1
"park ranger: what makes you want to work with us 

me: it’s a family tradition check out my references  

park ranger: ok *reading resume* there is no way your uncle is-

secretary: [bursts into the room] sorry sir but the Grand Canyon is on the phone for his nephew",1
I tried to kill a spider with hair spray. It's still alive but its hair look amazing!,1
Funny Laws-Alaska: persons may not live in a trailer as it is being hiked across the city.,1
Hundreds protest in Cairo over police shooting ,0
There's no need for women to behave the way they do on their period. It's an ovary action.,1
Do you smoke pot because weed be cute together,1
,1
North Korea's Kim Jong Un says H-bomb test self-defensive step against the U.S.  ,0
"The first school was opened in a log house in January 1901 , and the first teacher was Eliza R. Black.",0
Her sisters were also born in Rasht.,0
went to board my flight and there was a guy sitting in my window seat and when i told him it was mine he said “but i want it” and if that’s not this whole fuckin country i don’t know what is,1
Early turbine examples are windmills and water wheels.,0
"To all the day mode haters, have you considered that maybe night mode is too spooky for some of us? Check your privilege.",1
"The computer beat me at chess, but I can sure as heck beat it at kickboxing.",1
Every Bird Likes Its Own Nest,0
Just bought a suit made from cactus.I look pretty sharp in it.,1
"professor x: what's your power?

me: i can summon dogs

professor x: stupid power

me: [suddenly holding a tiny puppy] let's go buddy, he doesn't want us

professor x: wait",1
"all i wanna do is 

*gunshot gunshot gunshot gunshot*

respect some women",1
horses and time: two things you probably would like to learn about sequentially,1
Health Is Not Valued Till Sickness Comes,0
"FBI director, Apple general counsel to testify March 1: House panel ",0
It pains me to say this...but I have a sore throat.,1
This was also the third time the name `` Jose '' had been used to name a tropical cyclone in the Atlantic.,0
I thought if I took the shell off my racing snail it would go faster. If anything it seems more sluggish.,1
North Korea holding U.S. citizen for allegedly spying: CNN -  ,0
